transaction_id,customer_id,transaction_date,transaction_amount,item_category,item_count
T000000,bd20895a,2023-06-03,49.79,Beauty,1
T000001,4ee7299f,2025-02-10,16.14,Food,2
T000002,56aa2a5b,2023-02-04,41.66,Beauty,2
T000003,51ac415d,2024-10-11,13.23,Sports,3
T000004,7698bf76,2025-03-12,8.42,Beauty,1
T000005,e5a01cbc,2023-06-07,72.07,Books,1
T000006,7886ada3,2023-12-06,44.48,Electronics,3
T000007,9f0f9b3d,2023-10-30,12.07,Clothing,1
T000008,8c81741f,2023-05-24,67.08,Clothing,1
T000009,61f6bb2c,2022-11-19,41.51,Home Decor,2
T000010,cd7a1b5b,2023-04-01,81.1,Electronics,4
T000011,6d3ea340,2023-08-28,86.14,Clothing,3
T000012,c05e3c10,2023-09-27,84.27,Sports,1
T000013,27cc5ee5,2024-05-27,61.13,Books,2
T000014,ea9d33e9,2025-04-04,27.81,Food,1
T000015,9094e727,2023-10-05,11.04,Food,3
T000016,c7cd3ae3,2022-09-29,8.26,Home Decor,2
T000017,a4aeee5c,2022-04-12,60.46,Beauty,1
T000018,a70c2d67,2022-07-30,67.43,Sports,4
T000019,af1c24a5,2023-01-27,74.98,Electronics,1
T000020,e8f8cebc,2025-01-06,19.0,Home Decor,1
T000021,3bdccd12,2024-09-29,11.52,Beauty,2
T000022,48f8afbd,2021-03-17,59.79,Electronics,4
T000023,20ec660c,2021-10-18,48.78,Books,1
T000024,ff993f27,2020-12-23,40.61,Electronics,1
T000025,97322e26,2024-05-13,68.24,Clothing,3
T000026,e9c3403c,2022-05-07,53.06,Books,3
T000027,90c711f8,2024-09-24,22.31,Beauty,4
T000028,b971c227,2024-04-16,58.92,Electronics,1
T000029,ea9d33e9,2023-02-03,38.92,Books,2
T000030,c77a496c,2024-09-10,42.62,Books,2
T000031,f2440977,2023-01-07,43.31,Clothing,1
T000032,636a4b9d,2024-11-03,15.75,Sports,1
T000033,3b480550,2021-12-27,31.53,Books,1
T000034,b4f74298,2024-01-02,22.18,Books,3
T000035,452c7cb5,2022-07-03,23.0,Sports,4
T000036,2ca91b82,2024-03-10,20.89,Home Decor,1
T000037,5d46ff27,2024-02-28,12.47,Books,2
T000038,8ae69396,2022-09-26,77.1,Clothing,1
T000039,af8a3429,2023-04-14,18.88,Electronics,2
T000040,b52d582e,2024-03-25,73.07,Sports,3
T000041,300eaa19,2025-04-03,31.82,Food,2
T000042,c0527f67,2022-09-04,150.54,Electronics,4
T000043,9c589cf1,2024-09-26,19.68,Sports,4
T000044,66b59e17,2025-02-10,104.43,Beauty,3
T000045,33be1de8,2024-12-05,81.89,Beauty,1
T000046,6b8b2c3c,2023-05-14,13.64,Electronics,3
T000047,128874d6,2025-02-03,65.56,Books,1
T000048,46465a49,2023-07-01,31.26,Clothing,3
T000049,261e7173,2022-11-21,16.02,Home Decor,4
T000050,225c20d4,2025-03-14,67.84,Electronics,4
T000051,cc641140,2021-07-19,8.13,Food,3
T000052,121c3d6f,2021-05-16,9.93,Clothing,2
T000053,e5b13dd2,2024-11-05,56.34,Clothing,6
T000054,d8391a10,2024-12-26,50.68,Food,3
T000055,ee7b6b35,2023-10-15,20.2,Home Decor,2
T000056,eb6a8c26,2023-07-19,45.52,Beauty,2
T000057,e98b60f6,2025-02-23,23.42,Electronics,1
T000058,455ae2a1,2023-06-09,20.24,Clothing,1
T000059,c6d5f480,2024-11-21,84.03,Food,1
T000060,2a1511a6,2023-08-06,59.82,Books,1
T000061,7dfd9a17,2024-08-21,63.47,Electronics,1
T000062,c5ee75e1,2024-05-04,27.73,Home Decor,2
T000063,54ba6919,2024-04-01,20.41,Beauty,3
T000064,0717420a,2025-01-20,39.36,Clothing,2
T000065,32f419e4,2023-07-13,19.62,Books,1
T000066,e3593ccb,2023-02-28,23.95,Beauty,2
T000067,225c20d4,2025-03-21,39.34,Books,2
