customer_id,age,gender,annual_income,education,marital_status,city,state,country,postal_code,signup_date,purchase_frequency,avg_purchase_value,total_spent,days_since_last_purchase,favorite_payment_method,electronics_score,clothing_score,home_decor_score,beauty_score,sports_score,books_score,food_score,website_visits_per_month,avg_session_duration,mobile_app_usage,desktop_usage,items_viewed_per_visit,cart_abandonment_rate,email_engagement_rate,support_tickets,satisfaction_score
7e58732d,58,Male,76754,High School,Divorced,Curtisfurt,CT,US,47553,2023-11-26,7,30.46,213.2,29,Debit Card,53,81,52,84,74,49,48,3,11.7,6,96,7,54,0,1,7.0
5371a919,19,Non-binary,36083,Associate Degree,Widowed,New Jessica,GA,US,61090,2024-01-15,7,36.78,257.47,58,Google Pay,17,27,44,38,34,26,30,2,8.08,95,0,12,59,16,1,5.6
4a71a294,42,Male,45852,Bachelor Degree,Divorced,Hurstfurt,MN,US,29247,2021-11-21,13,33.38,433.95,34,Credit Card,75,80,53,70,51,81,64,2,9.21,91,18,7,40,65,0,6.9
23165a5e,30,Non-binary,34021,High School,Single,Teresaburgh,NY,US,14448,2021-07-26,5,35.45,177.27,30,PayPal,19,11,29,22,34,45,28,5,4.24,17,79,13,51,23,1,6.4
dcb1e818,62,Non-binary,90889,High School,Married,East Donna,OH,US,22144,2022-04-13,9,45.37,408.32,94,Debit Card,39,34,27,50,45,24,30,1,8.77,75,12,15,62,42,0,6.9
59619e1e,69,Female,125360,Master Degree,Divorced,New David,FM,US,75348,2024-11-26,9,20.29,182.57,28,Google Pay,76,69,87,81,85,65,72,6,21.96,20,93,8,9,48,0,7.0
688ea22b,65,Non-binary,50445,Master Degree,Widowed,Lake Yvettetown,CO,US,99272,2023-03-31,9,15.0,135.0,29,Debit Card,63,37,35,39,41,72,42,1,11.22,82,29,19,52,35,0,5.3
cf12d9f1,42,Female,70963,PhD,Widowed,Lake Michellefurt,DE,US,75169,2022-04-23,11,39.6,435.63,33,Google Pay,55,62,89,72,76,62,73,4,10.76,47,46,12,29,58,1,7.6
86560c9d,50,Male,40472,PhD,Single,Cherylhaven,AL,US,88039,2020-05-24,8,19.21,153.65,81,PayPal,93,85,91,65,62,76,63,9,13.26,59,36,12,56,7,2,6.2
d1d6968f,38,Female,36778,High School,Single,North Charlesberg,ND,US,05223,2023-03-29,9,56.56,509.01,113,PayPal,18,30,51,20,20,46,19,8,9.52,100,0,14,51,35,0,6.5
8de7a09b,60,Female,53545,PhD,Married,Phambury,KY,US,21367,2023-10-16,7,49.39,345.73,68,Google Pay,40,61,39,46,52,50,55,5,6.91,93,3,8,55,7,4,5.8
7f6027dc,32,Male,94142,Bachelor Degree,Single,Benjaminchester,MI,US,95992,2021-12-23,17,29.17,495.86,71,Debit Card,51,37,41,77,40,51,41,10,37.82,90,1,8,45,37,0,8.8
e2660129,33,Female,38309,Master Degree,Married,New Ashley,MO,US,72320,2022-04-02,5,23.7,118.5,17,Bank Transfer,95,95,89,74,89,85,71,8,8.69,12,91,7,60,51,1,6.8
9dd2da9c,44,Female,47218,High School,Single,South Robertshire,ID,US,94656,2024-12-07,12,15.0,180.0,52,Bank Transfer,27,36,33,33,55,49,29,2,18.09,40,61,14,34,41,1,6.5
0bba0348,73,Male,52771,Master Degree,Single,Colebury,MP,US,84080,2024-12-28,4,15.0,60.0,84,Google Pay,53,58,68,63,79,84,83,4,9.04,23,69,2,60,13,3,5.0
89f298a6,42,Male,173949,Master Degree,Divorced,Port Nicoleshire,MS,US,63019,2020-11-17,18,15.0,270.0,101,Apple Pay,45,53,49,27,30,36,31,5,28.24,100,10,14,31,61,1,8.4
aad2fff7,65,Female,44592,High School,Single,Lake Roymouth,HI,US,07091,2021-12-31,7,49.14,343.95,62,Google Pay,91,68,61,90,63,69,62,6,17.34,56,42,4,51,30,3,5.1
1dcc9643,74,Non-binary,53124,Associate Degree,Single,South Holly,WI,US,48852,2021-10-20,2,47.65,95.3,11,Apple Pay,79,78,75,62,58,55,62,5,2.24,25,70,1,77,35,2,5.1
12ef1a34,47,Female,42211,High School,Single,Alexanderchester,GU,US,64752,2022-09-15,7,30.29,212.02,80,Google Pay,10,40,19,38,22,14,28,1,10.21,85,12,9,61,50,0,6.3
f8898103,28,Female,29026,PhD,Divorced,Lewisview,MA,US,37156,2021-11-05,10,15.0,150.0,104,Bank Transfer,33,68,52,39,41,49,40,1,9.79,95,5,8,71,50,2,6.1
d810058a,36,Non-binary,84548,Associate Degree,Divorced,North Jennifer,MD,US,16171,2024-02-19,5,33.68,168.42,88,Bank Transfer,70,86,85,70,57,59,94,8,16.59,40,48,16,25,61,0,8.2
432aba84,39,Male,20703,Bachelor Degree,Married,Mendozamouth,HI,US,07235,2021-02-12,9,15.0,135.0,57,Google Pay,72,80,45,52,49,54,79,8,12.03,4,100,6,57,11,4,6.2
145e335d,27,Female,26978,Associate Degree,Single,New Susanville,WV,US,27736,2023-07-19,11,15.0,165.0,47,Credit Card,79,70,72,63,79,92,83,6,14.42,91,0,19,54,66,3,5.9
94dc73b7,69,Male,35947,Master Degree,Single,Scottmouth,UT,US,40358,2024-04-08,4,15.0,60.0,95,PayPal,76,65,67,60,56,74,52,1,12.43,82,10,1,42,0,2,4.9
c69d8fa4,40,Female,46941,Associate Degree,Married,Manuelville,PR,US,21580,2025-02-21,12,74.69,896.22,85,Debit Card,46,42,29,42,47,57,50,2,11.13,74,32,13,59,38,1,6.7
f87cfbd3,25,Female,47890,Associate Degree,Divorced,Andreaport,NV,US,92022,2025-01-22,3,18.54,55.61,14,Google Pay,49,47,54,65,59,34,51,1,4.15,85,8,6,55,0,1,6.4
5304bd65,63,Female,77443,High School,Married,Loriport,VA,US,39633,2023-03-27,7,68.83,481.83,56,Credit Card,81,99,80,67,79,92,79,4,21.47,66,35,7,60,41,1,6.6
786e177b,53,Male,56165,Associate Degree,Widowed,South Monica,FL,US,10308,2021-07-19,4,15.0,60.0,49,Bank Transfer,58,86,83,66,72,82,47,2,19.79,26,72,11,54,59,0,6.6
2cd6d119,56,Non-binary,196254,Bachelor Degree,Widowed,Nicholasberg,IA,US,70122,2022-10-19,11,71.69,788.55,57,Bank Transfer,45,43,23,18,31,45,53,3,15.04,53,35,10,6,64,1,7.8
f4f81ab6,32,Male,72775,Associate Degree,Single,Jamesfurt,PR,US,63836,2025-01-06,8,39.4,315.17,32,Apple Pay,43,68,65,79,75,51,63,7,19.02,46,44,1,39,40,1,7.7
6fe976ac,75,Male,33875,Master Degree,Married,North Renee,MD,US,98474,2024-04-15,2,24.83,49.67,103,Bank Transfer,62,36,68,48,40,62,41,1,10.58,86,26,1,75,0,3,4.6
9f218fd6,38,Female,79900,PhD,Widowed,Danielbury,NJ,US,03781,2020-08-13,6,37.63,225.8,117,Google Pay,38,58,56,44,43,68,45,6,14.08,82,28,14,42,39,2,8.0
39a24893,35,Female,92555,High School,Divorced,Port Tracychester,KY,US,04789,2023-12-17,10,38.36,383.58,35,PayPal,54,25,28,29,34,44,29,8,26.12,62,32,14,27,63,2,8.8
7c2b3797,39,Non-binary,70916,Master Degree,Widowed,North Maria,OH,US,27653,2024-12-04,9,28.6,257.43,27,Apple Pay,61,25,60,48,54,24,46,6,24.3,31,73,9,39,36,2,7.9
70cce195,65,Non-binary,73623,PhD,Married,Foxland,NJ,US,59257,2022-07-16,8,87.21,697.68,29,PayPal,58,28,51,48,52,37,56,3,21.89,100,15,11,55,43,0,6.1
40a5a780,43,Non-binary,153432,PhD,Single,Garciaville,PR,US,86315,2024-10-21,10,87.03,870.29,83,Apple Pay,37,19,11,24,32,28,21,11,20.21,45,56,11,26,22,1,8.5
7c48a528,66,Female,31414,Bachelor Degree,Single,Parrishton,LA,US,79197,2022-08-21,4,15.0,60.0,3,Bank Transfer,37,56,48,38,36,35,49,1,11.2,9,89,3,76,0,1,4.7
8ae69396,33,Male,36005,Master Degree,Single,North Julieborough,MS,US,55529,2022-02-10,7,48.67,340.68,28,Apple Pay,60,67,54,82,82,51,54,4,13.27,89,11,6,41,37,2,6.4
5fed7948,37,Non-binary,21180,Master Degree,Widowed,Roseport,AZ,US,29404,2021-04-07,7,15.0,105.0,26,Credit Card,77,52,43,56,75,44,73,1,14.36,79,28,4,52,32,0,6.2
